Word,Count,Translation
dna,23889,ϋΝΑ
liar,23882,ψεύτης
tour,23875,περιοδεία
thief,23870,κλέφτης
bleep,23861,βίαιο
lisa,23839,Λίζα
rights,23824,δικαιώματα
including,23813,συμπεριλαμβανομένου
competition,23805,ανταγωνισμός
smith,23799,σιδηρουργός
planned,23797,σχεδιασμένος
emily,23792,Έμιλι
boring,23737,βαρετό
victims,23737,θύματα
mentioned,23716,που αναφέρθηκαν
bones,23635,οστά
plant,23599,φυτό
bless,23587,ευλογώ
warning,23583,προειδοποίηση
knocking,23577,χτυπώντας
re,23559,σχετικά με
crash,23547,σύγκρουση
bedroom,23542,υπνοδωμάτιο
lower,23529,πιο χαμηλα
silver,23523,ασήμι
groaning,23492,στεναγμένος
madame,23490,κυρία
defense,23479,άμυνα
results,23478,Αποτελέσματα
toilet,23467,τουαλέτα
event,23463,Εκδήλωση
complicated,23462,περίπλοκος
shape,23460,σχήμα
priest,23453,παπάς
royal,23448,βασιλικός
cheap,23430,φτηνός
romantic,23427,ρομαντικός
downstairs,23403,στον κατω οροφο
invite,23394,καλώ
fortune,23379,τύχη
tears,23377,δάκρυα
avoid,23374,αποφύγει
reached,23358,επιτεθειμένος
higher,23354,πιο ψηλά
familiar,23348,οικείος
telephone,23343,τηλέφωνο
burning,23326,καύση
filled,23319,γέματο
kelly,23313,κέλι
alice,23311,Αλίκη
airport,23293,αεροδρόμιο
jobs,23268,θέματα εργασίας
grown,23266,καλλιεργημένος
walter,23260,Βαλτέρος
rachel,23258,Ραχήλ
giant,23227,γίγαντας
insurance,23218,ΑΣΦΑΛΙΣΗ
woods,23211,δασάκι
n,23195,n
scare,23192,φόβος
pleased,23158,ευχαριστημένος
period,23158,περίοδος
political,23126,πολιτικός
player,23087,παίχτης
stops,23086,στάσεις
secrets,23070,μυστικά
laura,23050,Λαούρα
repeat,23036,επαναλαμβάνω
photos,23035,φωτογραφίες
finds,23019,ευρήματα
statement,22990,δήλωση
suck,22982,ρουφώ
younger,22961,πιο ΝΕΟΣ
china,22926,Κίνα
humans,22912,του ανθρώπου
delicious,22901,νόστιμο
particular,22890,ιδιαιτερος
proper,22889,κατάλληλος
rome,22884,Ρώμη
belongs,22870,ανήκει
attacked,22868,επιτεθεί
bath,22866,λούτρο
hired,22838,μισθωτός
site,22834,ιστοσελίδα
knowledge,22822,η γνώση
b,22813,σι
led,22806,οδοντοστοιχία
guests,22805,επισκέπτες
celebrate,22764,γιορτάζω
map,22726,χάρτης
horn,22716,κέρατο
eventually,22679,τελικά
pity,22667,κρίμα
powers,22649,εξουσίες
ashamed,22623,ντροπιασμένος
assume,22616,υποθέτω
glasses,22604,Γυαλιά
rise,22596,αύξηση
fixed,22575,σταθερός
request,22533,αίτηση
officers,22496,αξιωματούχοι
pounds,22483,κιλά
data,22478,δεδομένα
carefully,22477,προσεκτικά
per,22472,ανά
depends,22413,Εξαρτάται
jury,22389,ένορκοι
waited,22384,περίμεναν
positive,22369,θετικός
attorney,22345,δικηγόρος
direction,22341,κατεύθυνση
families,22338,οικογένειες
'clock,22311,'ρολόι
doin,22289,δοχείο
forces,22284,δυνάμεις
location,22282,τοποθεσία
walls,22247,τοίχους
useless,22228,άχρηστος
grant,22210,χορήγηση
saving,22196,οικονομία
speaks,22181,μιλάω
fought,22170,αγωνίστηκε
meal,22145,γεύμα
deliver,22124,παραδίδω
answers,22116,απαντήσεις
changing,22102,μεταβαλλόμενος
temple,22036,ναός
scary,22035,τρομακτικός
millions,22009,εκατομμύρια
offered,21983,προσφέρθηκε
regular,21961,τακτικός
carrying,21905,μεταφέρουν
official,21871,επίσημος
jacket,21863,σακάκι
switch,21862,διακόπτης
grave,21831,τάφος
chase,21830,κυνηγητό
role,21813,ρόλος
odd,21790,Περιττός
sexy,21774,λάγνος
faces,21771,πρόσωπα
becomes,21768,γίνεται
closes,21761,κλείνω
badly,21750,κακώς
tall,21737,ψηλός
confused,21737,ταραγμένος
affair,21719,υπόθεση
television,21718,τηλεόραση
shock,21717,αποπληξία
raised,21712,ανυψωμένος
panting,21711,λαχραίνω
pizza,21677,πίτσα
image,21669,εικόνα
clears,21657,εκκαθάριση
golden,21644,χρυσαφένιος
patients,21543,ασθενείς
watched,21542,παρακολούθησα
committed,21517,αφοσιωμένος
sexual,21499,σεξουαλικός
suffer,21496,υποφέρω
arthur,21491,Αρθούρος
wherever,21483,οπουδήποτε
plate,21466,πλάκα
appear,21449,εμφανίζομαι
chocolate,21440,σοκολάτα
clever,21429,έξυπνος
hm,21429,hm
mercy,21410,έλεος
shots,21399,βολές
lucy,21366,Λούσι
dealing,21356,μοιρασιά
trap,21352,παγίδα
charges,21347,ταρίφα
phil,21338,Φιλός
bang,21327,πάταγος
poison,21323,δηλητήριο
butt,21314,βαρέλι
drove,21309,οδήγησε
yourselves,21282,σείς οι ίδιοι
headed,21258,επικεφαλής
babies,21235,μωρά
yellow,21226,κίτρινος
soup,21202,σούπα
mystery,21181,μυστήριο
picking,21173,συλλογή
sat,21163,κάθισμα
wound,21144,πληγή
traffic,21084,ΚΙΝΗΣΗ στους ΔΡΟΜΟΥΣ
courage,21070,θάρρος
hunt,21068,κυνήγι
indian,21049,Ινδός
rat,21042,αρουραίος
terms,21034,όροι
italian,21021,ιταλικός
emma,21005,Έμμα
checking,20978,έλεγχος
disease,20973,ασθένεια
managed,20964,διαχειριζόμενος
winner,20958,νικητής
council,20941,συμβούλιο
appointment,20930,ραντεβού
monday,20923,Δευτέρα
crack,20916,ρωγμή
threat,20913,απειλή
jenny,20899,θήλυ ζώων τινών
physical,20898,φυσικός
nation,20894,έθνος
source,20892,πηγή
chose,20888,επιλεγμένος
healthy,20853,υγιής
carl,20851,καραμέλα
victory,20846,νίκη
rick,20835,θημωνιά
stood,20827,στέκομαι
kicked,20800,με κλωτσιές
annie,20794,Άννι
disgusting,20786,αηδιαστικός
palace,20785,παλάτι
below,20771,παρακάτω
shopping,20754,ψώνια
neighborhood,20746,γειτονιά
march,20744,Μάρτιος
lips,20725,χείλια
midnight,20723,μεσάνυχτα
piss,20720,ουρώ
advantage,20711,πλεονέκτημα
pure,20685,ΚΑΘΑΡΟΣ
india,20682,Ινδία
aside,20677,κατά μέρος
jerk,20633,κόπανος
mail,20627,ταχυδρομείο
dawn,20598,αυγή
effect,20595,αποτέλεσμα
spell,20592,σημαίνω
freak,20578,φρικιό
wood,20570,ξύλο
screwed,20566,βιδωμένος
enemies,20563,εχθροί
gary,20553,αζάρυ
awake,20552,ξύπνιος
chuckling,20547,γέλιο
vacation,20544,διακοπές
violence,20527,βία
leo,20521,Λέων
grandmother,20515,γιαγιά
modern,20496,μοντέρνο
luke,20488,Λουκά
firm,20482,εταιρεία
prime,20480,πρωταρχική
heh,20476,εχυλώ
touched,20462,συγκενημένος
talent,20450,ταλέντο
whore,20444,πόρνη
piano,20426,πιάνο
license,20413,άδεια
cooking,20410,μαγείρεμα
honour,20377,τιμή
concern,20376,ανησυχία
moves,20349,κινείται
available,20347,διαθέσιμος
factory,20341,εργοστάσιο
gods,20335,θεοί
value,20324,αξία
central,20322,κεντρικός
union,20316,ένωση
mirror,20313,καθρέφτης
studio,20312,Στούντιο
media,20306,μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ
taxi,20268,ταξί
dies,20261,πέθα
iron,20252,σίδερο
hearts,20232,καρδιές
desire,20229,επιθυμία
rob,20228,ληστεύω
claire,20226,Κλαύρη
fred,20224,Φρειδερίκος
songs,20215,ΜΟΥΣΙΚΑ ΚΟΜΜΑΤΙΑ
washington,20212,Βάσιγκτων
monkey,20211,Πίθηκος
pride,20205,υπερηφάνεια
pills,20181,χάπια
miracle,20179,θαύμα
swim,20171,ζάλη
burned,20170,καμένος
smells,20103,μυρωδιά
joking,20073,αστειεύεται
christian,20041,Χριστιανός
bleeding,20017,Αιμορραγία
hook,20015,άγκιστρο
beating,20006,χτύπημα
protection,19995,ΠΡΟΣΤΑΣΙΑ
treatment,19950,θεραπεία
ear,19950,αυτί
carter,19940,καροτσιέρης
metal,19938,μέταλλο
disappear,19933,εξαφανίζομαι
grateful,19921,ευγνώμων
extremely,19901,επακρώς
treasure,19899,θησαυρός
rescue,19892,διάσωση
capable,19848,ικανός
passing,19834,πέρασμα
chatter,19834,φλυαρία
result,19823,αποτέλεσμα
suffering,19819,ταλαιπωρία
sisters,19817,αδελφές
laid,19791,στρωτός
governor,19790,κυβερνήτης
guards,19757,φρουρός
louis,19754,Λουίς
text,19730,κείμενο
literally,19728,Κυριολεκτικά
remove,19723,αφαιρώ
becoming,19723,θελκτικός
performance,19713,εκτέλεση
stronger,19713,ισχυρότερη
rate,19700,τιμή
deeply,19685,κατα ΒΑΘΟΣ
scream,19681,κραυγή
desert,19666,έρημος
vehicle,19664,όχημα
illegal,19658,παράνομος
pulling,19630,τραβώντας
throwing,19613,ρίψη
josh,19609,αστειεύομαι
unbelievable,19591,απίστευτος
ted,19583,απλώνω χόρτα
zero,19582,μηδέν
dean,19581,πρύτανης
curious,19576,περίεργος
sean,19572,σον
candy,19571,καραμέλα
bone,19546,οστό
tied,19530,δεμένος
edge,19515,άκρη
load,19510,φορτώνω
susan,19462,Σούζαν
ahh,19459,αχ
mountains,19451,βουνά
boom,19432,κεραία
former,19422,πρώην
holiday,19399,αργία
riding,19398,ιππασία
scoffs,19383,κοροϊδεύει
hundreds,19379,εκατοντάδες
motherfucker,19379,γηπεδούχος
sue,19375,κανω μηνυση
bags,19374,τσάντες
stealing,19327,κλοπή
appears,19313,εμφανίζομαι
arrive,19306,φθάνω
remains,19299,λείψανα
decent,19294,κόσμιος
issues,19278,θέματα
tip,19263,υπόδειξη
fail,19258,αποτυγχάνω
bride,19249,νυφη
pissed,19247,τσαλακωμένος
penny,19236,σεντ
claim,19233,απαίτηση
friendship,19225,φιλία
desperate,19211,απελπισμένος
flower,19199,λουλούδι
dramatic,19189,δραματικός
refuse,19168,αρνηθεί
solve,19166,λύσει
theme,19163,θέμα
loving,19152,τρυφερός
properly,19152,δεόντως
dragon,19123,δράκων
mostly,19116,ως επί το πλείστον
chuck,19107,χαϊδεύω
directly,19104,κατευθείαν
surface,19100,επιφάνεια
FALSE,19075,ΨΕΥΔΗΣ
cast,19073,εκμαγείο
junior,19055,κατώτερος
hunting,19043,κυνήγι
silent,19042,σιωπηλός
thou,19007,σύ
egg,19000,αυγό
germany,18972,Γερμανία
punch,18951,γροθιά
africa,18950,Αφρική
woke,18947,ξύπνησα
intelligence,18945,νοημοσύνη
borrow,18900,δανείζομαι
winning,18898,επιτυχής
falls,18897,πτώσεις
popular,18896,δημοφιλής
escaped,18891,δραπέταχος
witch,18890,μάγισσα
convinced,18875,πεπεισμένος
warn,18847,προειδοποιώ
announcer,18839,αναγγέλων
champagne,18824,σαμπάνια
dust,18820,σκόνη
kyle,18807,κατσαρός
someday,18800,κάποια μέρα
fallen,18795,πεσμένος
stranger,18791,ξένος
presence,18788,παρουσία
tear,18766,σχίσιμο
st.,18766,st.
internet,18765,Διαδίκτυο
monsieur,18763,κύριος
therefore,18733,επομένως
technology,18679,τεχνολογία
tires,18678,ελαστικά
toast,18638,τοστ
wise,18634,σοφός
clark,18625,κλέπτης
americans,18614,Αμερικανοί
notes,18614,σημειώσεις
smoking,18610,κάπνισμα
hank,18609,δέσμη νήματος
ls,18609,LS
april,18608,Απρίλιος
wolf,18566,λύκος
precious,18562,πολύτιμος
rooms,18562,δωμάτια
coast,18547,ακτή
treated,18542,αντιμετωπίζεται
material,18538,υλικό
released,18533,απελευθερωμένος
uniform,18533,στολή
hated,18529,μισητός
considered,18518,θεωρούνται
rice,18503,ρύζι
exchange,18494,ανταλλαγή
steps,18492,βήματα
blake,18491,αμάξης
convince,18445,πείθω
beast,18414,θηρίο
cow,18392,αγελάδα
files,18385,αρχεία
signs,18381,σημάδια
drag,18380,σέρνω
cab,18379,ταξί
hung,18378,βρώμικος
carried,18366,μεταφερόμενος
ordinary,18352,συνήθης
successful,18352,επιτυχής
eve,18346,παραμονή
mistakes,18340,λάθη
houses,18338,σπίτια
chattering,18327,φλυαρός
brains,18320,εγκεφάλου
japan,18308,Ιαπωνία
creature,18303,πλάσμα
fourth,18301,τέταρτος
separate,18291,ξεχωριστός
cleaning,18286,καθάρισμα
california,18275,Καλιφόρνια
lf,18264,LF
ll,18255,ll
shift,18253,βάρδια
elizabeth,18247,Ελισάβετ
chicago,18217,Σικάγο
exact,18213,ακριβής
karen,18204,καραμέλα
goal,18194,στόχος
expert,18181,ειδικός
served,18169,σερβίρισμα
direct,18122,απευθείας
score,18120,σκορ
row,18117,σειρά
marks,18117,σημάδια
twenty,18112,είκοσι
receive,18100,λαμβάνω
series,18098,σειρά
section,18094,Ενότητα
pilot,18070,πιλότος
jackson,18045,Τζάκσον
darkness,18029,σκοτάδι
thy,18023,σου
sale,18014,πώληση
destiny,18000,ΠΕΠΡΩΜΕΝΟ
cure,17999,θεραπεία
spoken,17993,ομιλούμενος
armed,17960,ένοπλος
rare,17927,σπάνιος
helen,17910,Ελένη
grade,17882,Βαθμός
juice,17879,χυμός
wide,17850,πλατύς
tower,17842,πύργος
solution,17830,λύση
schedule,17817,πρόγραμμα
explosion,17799,έκρηξη
wheel,17795,ρόδα
cigarette,17794,τσιγάρο
julie,17794,Τζούλι
fruit,17773,καρπός
blew,17768,έστρεψα
victor,17768,νικητής
talks,17763,συνομιλίες
sacrifice,17760,θυσία
range,17758,εύρος
button,17747,κουμπί
reports,17743,Αναφορές
prisoner,17740,φυλακισμένος
pie,17716,πίτα
effort,17715,προσπάθεια
youth,17703,νεολαία
pot,17692,δοχείο
eaten,17689,καταναλώνεται
taylor,17672,Τέιλορ
knees,17671,γόνατο
garage,17652,γκαράζ
parking,17645,στάθμευση
ambulance,17637,ασθενοφόρο
staring,17630,χτυπητός
chances,17624,πιθανότητα
circumstances,17621,περιστάσεις
sin,17617,αμαρτία
gordon,17605,Γκόρντον
progress,17605,πρόοδος
unusual,17603,ασυνήθης
county,17598,κομητεία
stairs,17597,σκάλες
campaign,17583,καμπάνια
'mon,17576,Δευ
vision,17563,όραμα
reporter,17553,δημοσιογράφος
equipment,17536,εξοπλισμός
moments,17531,στιγμές
joey,17518,ιόεϊ
mass,17516,μάζα
alien,17513,εξωγήινο
trapped,17495,παγιδευμένος
helps,17480,βοηθά
route,17472,Διαδρομή
defend,17469,υπερασπίζω
trace,17465,ίχνος
nasty,17464,δυσάρεστος
tests,17462,δοκιμές
magazine,17461,περιοδικό
rocks,17459,πετρώματα
dump,17455,εγκαταλείπω
rude,17432,αγενής
searching,17430,ερευνητικός
clue,17430,ένδειξη
connected,17429,συνδεδεμένος
amen,17429,Αμήν
pushed,17408,ώθησε
merry,17407,εύθυμος
zone,17386,ζώνη
senior,17374,αρχαιότερος
closing,17372,κλείσιμο
freeze,17372,πάγωμα
emperor,17360,αυτοκράτορας
incident,17339,περιστατικό
snake,17335,φίδι
mexico,17326,Μεξικό
lily,17324,κρίνος
actor,17318,ηθοποιός
newspaper,17312,εφημερίδα
sentence,17312,πρόταση
greg,17299,γρηγορός
leading,17295,κύριος
friendly,17294,φιλικός
jones,17294,Τζόουνς
chosen,17293,εκλεκτός
engaged,17285,αρραβωνιασμένος
julia,17281,Ιουλία
charming,17277,γοητευτικός
mustn,17276,πρέπει
anger,17258,θυμός
spending,17255,δαπάνες
learning,17252,μάθηση
spy,17251,κατάσκοπος
sharp,17246,αιχμηρός
shadow,17240,σκιά
warrant,17239,ένταλμα
elevator,17231,ανελκυστήρας
kingdom,17231,Βασίλειο
ricky,17230,ραχικός
jamie,17227,Τζέιμι
squad,17220,ομάδα
shoulder,17198,ώμος
wave,17194,κύμα
amanda,17189,Αμάντα
highness,17174,υψηλότητα
kinds,17172,είδος
fishing,17170,αλιεία
sometime,17142,κάποια στιγμή
attitude,17122,στάση
sucks,17110,χάλια
negative,17091,αρνητικός
screen,17070,οθόνη
workers,17054,εργαζόμενοι
bored,17028,βαριέος
cameras,17026,κάμερας
similar,17016,παρόμοιος
understanding,17000,κατανόηση
beeps,16989,μπιπ
chain,16978,αλυσίδα
bull,16952,ταύρος
gasping,16948,αναγκαιτός
fully,16943,πλήρως
robin,16921,κοκκινολαίμης
collect,16907,συλλέγω
gorgeous,16895,υπέροχος
morgan,16891,βρώμικος
passion,16878,πάθος
writer,16877,συγγραφέας
empire,16875,αυτοκρατορία
international,16875,Διεθνές
curse,16867,κατάρα
hire,16865,ενοικίαση
bastards,16864,μπάσταρδοι
puts,16846,βάζω
leads,16844,οδηγεί
id,16835,ταυτότητα
blows,16823,χτυπήματα
sons,16815,γιους
estate,16813,περιουσία
customers,16788,οι πελάτες
maggie,16770,Μάγκι
gunshot,16763,πυροβολισμός
i-,16759,Εγώ-
device,16734,συσκευή
troops,16729,στρατεύματα
hug,16724,αγκαλιάζω
design,16691,σχέδιο
movement,16686,κίνηση
thunder,16685,βροντή
object,16680,αντικείμενο
loser,16663,ηττημένος
pen,16656,στυλό
sobbing,16648,λυγμός
politics,16636,πολιτική
despite,16632,παρά
alcohol,16625,αλκοόλ
climb,16614,αναρρίχηση
clients,16613,πελάτες
conference,16610,διάσκεψη
provide,16609,προμηθεύω
marty,16606,αγριόχορτης
seek,16595,ψάχνω
witnesses,16584,μάρτυρες
earn,16558,κερδίζω
trash,16555,Σκουπίδια
valley,16540,κοιλάδα
fashion,16521,μόδα
howard,16500,Χάουαρντ
episode,16500,επεισόδιο
prize,16489,βραβείο
previously,16487,προηγουμένως
sports,16468,Αθλητισμός
wanting,16465,ελλείπων
debt,16464,χρέος
wishes,16453,ευχές
hitler,16449,Χίτλερ
wire,16416,σύρμα
thee,16410,σε
circle,16410,κύκλος
approach,16374,πλησιάζω
stock,16373,στοκ
facts,16365,γεγονότα
remembered,16359,θυμός
percent,16352,τοις εκατό
normally,16348,κανονικά
tail,16347,ουρά
joined,16342,εντάχθηκαν
education,16326,εκπαίδευση
bravo,16320,Μπράβο
library,16307,βιβλιοθήκη
rape,16303,βιασμός
wings,16298,παρασκήνια
growling,16293,γκρίνια
thrown,16290,εκτοξεύομαι
tank,16273,Δεξαμενή
exhales,16267,εκπνέω
authority,16265,εξουσία
current,16251,ρεύμα
failure,16251,αποτυχία
nightmare,16248,εφιάλτης
hitting,16244,να χτυπήσει
glory,16221,δόξα
knocked,16221,μελετώ
studying,16217,μελέτη
barry,16213,κοίλος
agency,16192,πρακτορείο
apple,16192,μήλο
border,16172,σύνορο
rope,16159,σκοινί
duck,16153,πάπια
reputation,16145,φήμη
confidence,16138,αυτοπεποίθηση
yard,16138,αυλή
beloved,16136,αγαπητός
lack,16112,έλλειψη
actual,16107,πραγματικός
skills,16100,δεξιότητες
films,16089,ταινίες
mental,16088,διανοητικός
salt,16079,άλας
flesh,16064,σάρκα
anne,16062,Άννα
secure,16048,ασφαλής
highly,16045,υψηλά
federal,16026,ομοσπονδιακός
sand,16019,άμμος
emotional,16018,Συναισθηματική
setting,16012,σύνθεση
nothin,15992,όχι
senator,15992,γερουσιαστής
services,15982,Υπηρεσίες
robbery,15978,ληστεία
hates,15968,μισοί
fed,15965,τάισα
reward,15944,ανταμοιβή
theater,15940,θέατρο
johnson,15936,Τζόνσον
commit,15921,διαπράττω
patrick,15903,Πατρίκιος
entirely,15891,εξ ολοκλήρου
extraordinary,15889,έκτακτος
ships,15878,πλοία
opposite,15870,απεναντι απο
parties,15865,μέρη
stands,15856,περίπτερα
terry,15820,είδος υφάσματος
chat,15812,κουβέντα
events,15804,εκδηλώσεις
mummy,15781,μούμια
bay,15777,Όρμος
slip,15773,γλιστράω
disappointed,15771,απογοητευμένος
settled,15766,τακτοποιημένο
begins,15758,αρχίζει
andrew,15748,Ανδρέας
alert,15747,συναγερμός
detail,15745,λεπτομέρεια
pink,15742,ροζ
fellas,15736,φίλοι
accepted,15736,αποδεκτό
background,15730,Ιστορικό
garbage,15709,σκουπίδια
panic,15707,πανικός
minds,15707,νοοτροπία
belt,15707,ζώνη
blowing,15705,φυσαλίδα
hollywood,15691,Χόλιγουντ
agreement,15659,συμφωνία
jackie,15659,Τζάκι
pushing,15648,δραστήριος
ability,15648,ικανότητα
tiger,15646,τίγρη
whispering,15642,ψιθυρισμός
culture,15640,Πολιτισμός
saint,15618,άγιος
jesse,15612,χερσαίως
task,15600,έργο
solid,15581,στερεός
doll,15579,κούκλα
intend,15570,σκοπεύω
district,15566,περιοχή
pa,15566,πομόνια
gee,15564,κηλίδα
custody,15562,επιμέλεια
ignore,15550,αγνοώ
naturally,15531,Φυσικά
useful,15524,χρήσιμος
attempt,15516,απόπειρα
abandoned,15502,εγκαταλειμμένος
cutting,15498,τομή
kissed,15495,φιλί
guarantee,15493,εγγύηση
barking,15493,γαβουρισμός
gather,15484,μαζεύω
policy,15482,πολιτική
u.s.,15482,μας.
violent,15464,βίαιος
maid,15457,υπηρέτρια
embarrassing,15455,στενόχωρος
childhood,15445,Παιδική ηλικία
wasting,15434,αυτός που καταναλώνει
bow,15423,τόξο
chick,15412,νεοσσός
sara,15387,Σάρα
disaster,15366,καταστροφή
revolution,15350,επανάσταση
online,15339,Σε σύνδεση
f,15338,φά
demon,15328,δαίμονας
heavily,15326,βαριά
coincidence,15318,σύμπτωση
perform,15312,εκτελώ
thin,15296,λεπτός
terrific,15296,υπέροχος
mac,15285,Μακ
crown,15281,στέμμα
identity,15281,Ταυτότητα
virgin,15276,παρθένα
impressive,15272,ΕΝΤΥΠΩΣΙΑΚΟ
windows,15229,παράθυρα
no-one,15212,Κανένας
potential,15193,δυνητικός
guitar,15191,κιθάρα
committee,15152,επιτροπή
dozen,15139,ντουζίνα
delivery,15137,διανομή
advance,15126,προκαταβολή
quietly,15115,ήσυχα
stan,15106,σταυρός
teaching,15100,διδασκαλία
hunter,15097,κυνηγός
latest,15091,αργότερο
hurting,15089,πληγώνω
swing,15079,κούνια
capital,15073,κεφάλαιο
counting,15069,αρίθμηση
drew,15068,διάβημα
dirt,15061,βρωμιά
whistle,15045,σφυρίζω
marie,15044,Μαρία
hits,15034,χτυπώ
doug,15030,Ντάγκ
deny,15012,αρνούμαι
urgent,15006,επείγων
threatened,14987,απειλημένος
behavior,14984,η ΣΥΜΠΕΡΙΦΟΡΑ
molly,14980,υποκοριστικό της Mary
mixed,14977,μικτός
stays,14944,στήριγμα
assure,14943,επιβεβαιώνω
subtitles,14939,Υπότιτλοι
explanation,14934,εξήγηση
wins,14921,κερδίζει
unique,14905,μοναδικός
chasing,14899,κυνηγώντας
billion,14895,δισεκατομμύριο
duke,14892,δούκας
production,14892,παραγωγή
slave,14888,δούλος
agents,14888,πράκτορας
carol,14887,κάλαντα
lets,14876,ας ας
cruel,14872,σκληρός
mask,14863,μάσκα
sally,14857,έξοδος
behave,14851,συμπεριφέρομαι
bury,14798,θάβω
massive,14789,ογκώδης
pathetic,14789,αξιολύπητο
species,14775,είδος
approaching,14768,πλησιάζοντας
jo,14768,jo
loan,14751,δάνειο
struggle,14736,πάλη
dish,14734,πιάτο
trusted,14722,έμπιστος
jumped,14699,πηδήρωσε
firing,14695,πυροδότηση
channel,14688,Κανάλι
abby,14677,αμπέρος
stopping,14667,στάθμευση
asks,14655,ρωτώ
jean,14651,τζήν
swimming,14648,κολύμπι
daily,14647,καθημερινά
basement,14645,υπόγειο
linda,14644,Λίντα
quarter,14642,τέταρτο
erm,14625,erm
bound,14619,όριο
navy,14616,ΠΟΛΕΜΙΚΟ ΝΑΥΤΙΚΟ
article,14614,άρθρο
guide,14614,οδηγός
accused,14612,κατηγορούμενος
transfer,14609,ΜΕΤΑΦΟΡΑ
guts,14598,εντόσθια
quality,14596,ποιότητα
fella,14583,φίλος
roman,14575,ρωμαϊκός
greater,14569,μεγαλύτερος
damned,14557,καταραμένος
couch,14529,καναπές
cheer,14507,κέφι
vegas,14494,Βέγκας
shoe,14489,παπούτσι
title,14488,τίτλος
shy,14479,ντροπαλός
punishment,14476,τιμωρία
los,14462,φώ
clicks,14462,κλικ
'you,14441,'εσείς
closet,14440,ΝΤΟΥΛΑΠΑ ΡΟΥΧΩΝ
bye-bye,14436,Αντίο
fever,14430,πυρετός
coward,14421,δειλός
flash,14418,λάμψη
impressed,14417,εντυπωσιασμένος
bruce,14413,Μπρους
siren,14411,σειρήνα
prisoners,14410,κρατούμενοι
sides,14403,πλευρές
bowl,14401,γαβάθα
katie,14399,Κέιτι
supply,14396,Προμήθεια
sensitive,14396,ευαίσθητος
hopefully,14389,ελπίζουμε
rolling,14377,κυλιομένος
roy,14370,θόρυβος
dollar,14367,δολάριο
tone,14366,τόνος
voices,14350,φωνές
g,14340,σολ
'i,14312,'Εγώ
cheating,14310,ζαβολιά
confess,14303,ομολογώ
demand,14303,ζήτηση
museum,14302,μουσείο
unknown,14300,άγνωστος
drama,14284,Δράμα
suspicious,14279,ύποπτος
adult,14267,ενήλικας
todd,14262,Τοντντ
frightened,14246,τρομαγμένα
warned,14244,προειδοποιημένος
steady,14241,σταθερά
kills,14233,σκοτώνει
crossed,14222,σταυρωμένος
lou,14221,λουκάνικο
particularly,14220,ιδιαίτερα
sandwich,14200,σάντουιτς
laws,14196,του νόμου
joint,14190,άρθρωση
bullets,14186,σφαίρες
package,14169,πακέτο
trained,14156,εκπαιδευμένος
thursday,14150,Πέμπτη
boots,14143,μπότες
possibility,14141,δυνατότητα
albert,14140,άλβερτος
civil,14131,εμφύλιος
june,14126,Ιούνιος
germans,14122,Γερμανοί
baseball,14106,μπέιζμπολ
express,14103,εξπρές
miserable,14078,άθλιος
tuesday,14074,Τρίτη
parker,14072,παρασκήτης
lion,14069,λιοντάρι
joseph,14059,Ιωσήφ
refused,14058,αρνήτος
shine,14055,λάμψη
assault,14053,προσβολή
hong,14048,χονγκ
jokes,14047,αστεία
breaks,14045,φρένα
argue,14042,λογομαχώ
you-,14035,εσείς-
trail,14033,μονοπάτι
option,14026,επιλογή
recall,14021,ανάκληση
mighty,14014,ισχυρός
collection,14008,συλλογή
oliver,13994,όλιβερ
wilson,13994,γουρουνάκι
accent,13993,προφορά
believes,13985,πιστεύει
decisions,13978,αποφάσεις
embarrassed,13972,αμήχανος
mobile,13970,κινητό
customer,13954,πελάτης
terribly,13954,τρομερά
sec,13941,δευτερόλεπτο
charity,13935,φιλανθρωπία
considering,13923,Θεωρώντας
pussy,13922,μουνί
donna,13918,Ντόνα
protecting,13916,προστατευτικός
flag,13907,σημαία
kidnapped,13898,απαγωγός
italy,13890,Ιταλία
balance,13887,ισορροπία
creatures,13885,πλάσματα
nuclear,13873,πυρηνικός
wallet,13863,πορτοφόλι
shout,13856,κραυγή
vincent,13852,βικέντιος
entered,13850,εισήχθη
impression,13849,εντύπωση
angela,13848,άγγελο
jay,13847,κίσσα
degrees,13842,βαθμοί
favour,13830,εύνοια
reaction,13825,αντίδραση
network,13816,δίκτυο
jessica,13814,Τζέσικα
version,13814,εκδοχή
concert,13801,συναυλία
gear,13780,μηχανισμός
singer,13777,τραγουδιστής
diamond,13777,διαμάντι
defeat,13775,ήττα
steven,13772,Στίβεν
lane,13771,λωρίδα
blast,13764,έκρηξη
wounded,13763,τραυματίας
anytime,13761,οποτεδήποτε
partners,13760,εταίροι
ages,13759,επαιτώ
charlotte,13759,Σαρλότ
ceremony,13753,τελετή
league,13742,σύνδεσμος
bars,13738,μπάρες
orange,13738,πορτοκάλι
specific,13708,ειδικός
conditions,13699,συνθήκες
plastic,13694,πλαστική ύλη
crisis,13690,κρίση
fifth,13690,πέμπτος
term,13676,όρος
self,13657,εαυτός
offering,13655,προσφορά
bud,13654,μπουμπούκι
suffered,13646,υπηχόμενος
reported,13643,έχουν αναφερθεί
commissioner,13637,επίτροπος
rip,13626,ξήλωμα
mysterious,13617,μυστηριώδης
